stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url,text
29629678,2011-01-08 15:10:00,Is Violent Rhetoric Behind the Attack on Giffords?,"http://feedproxy.google.com/~r/time/topstories/~3/bn7MoFK1O4s/0,8599,2041408,00.html",en,False,,4419,Time,http://time.com,Return to homepage Your browser is out of date. Please update your browser at http://update.microsoft.com
29633233,2011-01-09 01:00:38,Arizona's chief fed judge among shooting victims,http://feeds.boston.com/click.phdo?i=a507d4f05d53cb4f52f46d97dfea82ab,en,True,,15,The Boston Globe,https://www.bostonglobe.com/,Feed Address: HTTP Error (Code) and Message: (404) Feed not found error: FeedBurner cannot locate this feed URI.
29641724,2011-01-09 03:02:13,Cantor Postpones Votes Next Week In Wake Of Shootings -- Including HCR Repeal,http://feedproxy.google.com/~r/tpmelectioncentral/~3/XTP9n82jUoY/cantor-postpones-votes-next-week-in-wake-of-shootings----including-hcr-repeal.php,en,False,,113,Talking Points Memo,http://www.talkingpointsmemo.com,Feed Address: HTTP Error (Code) and Message: (404) null
29646424,2011-01-09 07:43:23,Web ravings of warped 'killer',http://www.nypost.com/p/news/national/web_ravings_of_warped_killer_3W94yfVffll6l97bHeoHAO?CMP=OTC-rss&FEEDNAME=,en,False,,7,New York Post,http://www.nypost.com/,"Thanks for contacting us. We've received your submission. (
) Jared Lee Loughner’s Internet musings depict a severely troubled young man who harbors a deep-seated distrust of government. Loughner, the suspected gunman in the assassination attempt on Rep. Gabrielle Giffords and mass shooting outside a Tucson, Ariz., supermarket, posted a series of incoherent YouTube manifestos that rambled about “conscious dreaming,” sleepwalking, grammar, terror and revolution. In the most disturbing rant published under his name, Loughner posted a video depicting a man dressed as the Grim Reaper setting fire to the American Flag. Playing in the background is “Bodies” by the metal band Drowning Pool with its chilling intro, “Let the bodies hit the floor.” His Myspace page, which was deleted yesterday, included a enigmatic sign-off: “Goodbye friends . . . Please don’t be mad at me.” Loughner attempted to enlist in the Army but was rejected, a law-enforcement source told The Post. “Jared Loughner is a United States Military recruit at MEPS [military entrance processing station] in Phoenix,” he wrote in another post accompanied by eerie music. “I didn’t write a belief on my Army application and the recruiter wrote on the application: None.” Pima County Sheriff Clarence Dupnik said Loughner had a “criminal background” and had previously made death threats, but it was not clear against whom, except that the threats were not towards Giffords. The Arizona Daily Star said he was arrested in Oct. 2007 for possession of drug paraphernalia and was again arrested on an unknown charge a year later. In another paranoid rant, the suspect wrote: “Reading the second United States Constitution, I can’t trust the current government because of the ratifications; The government is implying mind control and brainwash on the people by controlling the grammar.” Among his favorite books listed on his Myspace profile, Loughner included “Mein Kampf,” “The Communist Manifesto” and “The Wizard of Oz.” Loughner, 22, a Tucson resident and student at Pima Community College, is an only child who still lives with his family, neighbors said. “When he was a young boy, he was very nice but kind of a loner,” said longtime neighbor Lynn Riach, who remembered often hearing him practicing the saxophone. “We’re a really tight-knit neighborhood. We know all our neighbors and the Loughner family kept to themselves,” Riach said. “The parents loved their son very much.” Other neighbors said they recall Loughner only rarely emerging from his house, usually to walk his dog. He always wore headphones, they said. He made a drastic change to his shaggy appearance last summer when he shaved his head, a neighbor said. “My favorite interest was reading, and I studied grammar,” he wrote on a Myspace profile that was deleted yesterday afternoon. Loughner dropped out of high school after his junior year in 2006 but later attended community college. A former classmate at Pima said he was “obviously very disturbed.” Lynda Sorenson, who took a math class with Loughner, told the Arizona Daily Star, that he would constantly disrupt the class “with nonsensical outbursts.” And Lydian Ali said the alleged gunman would laugh maniacally to himself in their poetry class. “It almost seemed like he was on his own planet, because his comments would have nothing to do with what we were talking about,” she told the paper. Excerpts from Jared Lee Loughner’s YouTube postings “The majority of citizens in the United State of America have never read the United States of America’s Constitution. You don’t have to accept the federalist laws. Nonetheless, read the United State of America’s Constitution to apprehend all of the current treasonous laws. You’re “ “The current government officials are in power for their currency, but I’m informing you for your new currency! If you’re treasurer of a new money system, then you’re responsible for the distributing of the new currency. “ “No! I won’t trust in God.” “In conclusion, reading the second United States Constitution, I can’t trust the current government because of the ramifications: The government is implying mind control and brainwash on the people by controlling grammar. No! I won’t pay debt a currency that’s not backed by gold and silver!” “My hope – is for you to be literate! If you’re literate in English grammar, then you comprehend English grammar. The majority of people, who reside in District 8, are illiterate – hilarious.” “I know who’s listening: Government officials, and the People. Nearly all the people, who don’t know this accurate information of a new currency, aren’t aware of mind control and brainwash methods.” “If I define terrorist then a terrorist is a person who employs terror or terrorism, especially as a political weapon. If you call me a terrorist then the argument to call me a terrorist is Ad hominem. You call me a terrorist. Thus, the argument to call me a terrorist is Ad hominem.” Additional reporting by Dennis Welch and Josh Margolin akarni@nypost.com Share Selection"
29650009,2011-01-09 10:40:00,Politicians' comments on Arizona shooting,http://www.miamiherald.com/2011/01/09/2007518/politicians-comments-on-arizona.html,en,True,,28,Miami Herald,http://www.miamiherald.com/
29655204,2011-01-09 10:33:00,Politicians' comments on Arizona shooting,http://www.kansascity.com/2011/01/09/2571069/politicians-comments-on-arizona.html#storylink=rss,en,True,,30,Kansas City Star,http://www.kansascity.com/
29655386,2011-01-09 16:36:29,"Obama speaks with Gifford's husband, briefed Sunday morning",http://rss.cnn.com/~r/rss/cnn_latest/~3/61dGtFySCUA/index.html,en,False,,1095,CNN,http://www.cnn.com/,
29656989,2011-01-09 17:41:53,Gabrielle Giffords case: Second man sought in mass Arizona shooting,http://www.csmonitor.com/USA/2011/0109/Gabrielle-Giffords-case-Second-man-sought-in-mass-Arizona-shooting,en,False,,3,Christian Science Monitor,http://csmonitor.com,"  Link copied. We want to bridge divides to reach everyone. Gabrielle Giffords still in critical condition. The motive of the suspect, Jared Lee Loughner, is still a mystery in the shooting of Giffords, a Democrat who supported the health-care bill. Loading... January 9, 2011 One man is in custody and authorities are looking for another the day after a mass shooting at a Tucson, Ariz., grocery store left six dead and 13 gravely injured, including the apparent target of the attack, US Rep. Gabrielle Giffords. With the local sheriff’s office and the FBI investigating, suspicions that the suspected gunman, Jared Lee Loughner, had an accomplice would complicate the thesis that the shooting was the work of a lone and mentally unbalanced young man lashing out at the government. The existence of a co-conspirator could point to a more calculated plot, and perhaps shed more light on the motive for the attack. ""We are not convinced that [the man in custody] acted alone. There is some reason to believe he came to this location with another individual, and that individual is involved,"" said Clarence Dupnik, Pima County sheriff, at a press conference Saturday. Congresswoman Giffords, who underwent surgery Saturday after a bullet struck her in the head during a political “meet and greet” event at a Tucson supermarket, remained in critical condition early Sunday. Killed in the attack were: • US district Judge John Roll, who stopped by the event to say hello to Giffords. He had been the chief judge for the District of Arizona since 2006 and a federal judge since 1991, appointed by Republican President George H.W. Bush. He had been the target of threats several years ago, after he ruled that a civil rights lawsuit filed by illegal immigrants could proceed against an Arizona rancher, according to a CNN report. • Gabriel Zimmerman, one of Giffords’s aides. Engaged to be married, Mr. Zimmerman, who like Gifford was Jewish, was the congresswoman’s director of community outreach and a Tucson native. • Dorwin Stoddard, a retired construction worker. Mr. Stoddard’s wife was also injured, but witnesses told CNN that he tried to shield her from gunshots. She is expected to recover. • Christina Greene, a 9-year-old who had recently been elected to serve on the student council at her school. She went to the event with a neighbor to meet Giffords. At time of writing, little was known about two others who died at the scene , Phyllis Scheck and Dorothy Morris, both in their seventies. The portrait emerging of the suspected gunman was of a troubled young man described variously by public officials as “deranged,” “mentally unstable,” and as having “a troubled past.” Mr. Loughner is believed to have dropped out of high school, and he was ousted from Pima Community College in September until he underwent a mental health evaluation and was cleared to return. In 2008, the US Army rejected him as a recruit, but did not reveal why. He’d been cited in Pima County in 2007 for possession of drug paraphernalia, according to a report in The Guardian. Authorities on Sunday released a photo of a man, estimated to be between 40 and 50, who they said was near Loughner at the scene prior to the shooting. The image is from a store surveillance camera, and the sheriff’s office asked the public for help identifying the unknown man. “We want to know if the person of interest is associated with” Loughner, Pima County deputy Jason Ogan told the Los Angeles Times. “We released the photo to see if anyone knows him.” The tragedy led House leaders on Sunday to order flags to be flown at half-staff to honor Mr. Zimmerman, and they canceled plans to hold a floor vote this week on repealing the controversial health-care reform law of 2010. Health-care reform was a hot-button issue in the midterm election, and several members of Congress, including Giffords, said they’d received unusually strident and angry phone calls and mail after the legislation passed in March. Her Tucson office was also vandalized at the time. Giffords voted in favor of the law. It’s not clear, though, whether the shooter targeted Giffords because of her vote on any specific issue, or even for her political views. Arizona has been through wrenching debates lately over several issues, among them state laws to crack down on illegal immigration, ending organ transplants as a Medicaid benefit, and how to curtail services amid a large budget deficit. The three-term congresswoman barely defeated a tea party-backed candidate in November, in which the health-care law was a major point of contention. Regardless, the shooting set off an intense debate on talk shows and in the blogosphere over the level of “vitriol” in public discourse – and whether those who engage in rhetorical flame-throwing bear any responsibility for inciting violence in others, especially those deemed to be mentally unstable. Pima County Sheriff Clarence Dupnik suggested Saturday, in the aftermath of the shooting, that those exercising their rights to free speech would do well to consider the effects of their words. ""When you look at unbalanced people, how they respond to the vitriol that comes out of certain mouths about tearing down the government. The anger, the hatred, the bigotry that goes on in this country is getting to be outrageous,"" said Sheriff Dupnik. ""And unfortunately, Arizona I think has become sort of the capital. We have become the mecca for prejudice and bigotry."" Already a subscriber? Login Monitor journalism changes lives because we open that too-small box that most people think they live in. We believe news can and should expand a sense of identity and possibility beyond narrow conventional expectations. Our work isn't possible without your support. Already a subscriber? Login   Link copied. Follow us:          "
29657542,2011-01-09 16:31:28,Giffords' Friend: Dem Rep Is In An 'Induced Coma',http://feedproxy.google.com/~r/tpmelectioncentral/~3/80DyLlOtEGM/giffords-friend-giffords-is-in-an-induced-coma.php,en,False,,113,Talking Points Memo,http://www.talkingpointsmemo.com,Feed Address: HTTP Error (Code) and Message: (404) null
29658896,2011-01-09 17:00:48,Nigeria: Homes set ablaze in violence-torn region,http://feeds.boston.com/click.phdo?i=55803630bbd0c667d0c93763b8567eb7,en,True,,15,The Boston Globe,https://www.bostonglobe.com/,Feed Address: HTTP Error (Code) and Message: (404) Feed not found error: FeedBurner cannot locate this feed URI.
