stories_id,publish_date,title,url,language,ap_syndicated,themes,media_id,media_name,media_url
41451835,2011-09-11 03:15:00,American Muslims work to build awareness,http://www.kansascity.com/2011/09/10/3133494/american-muslims-work-to-build.html#storylink=rss,,False,,30,Kansas City Star,http://www.kansascity.com/
41466073,2011-09-11 15:04:30,"In post-9/11 America, complex new realities",http://www.buffalonews.com/911/article552525.ece,,False,,57,The Buffalo News ,http://www.buffalonews.com/
41474520,2011-09-11 17:39:00,Nevada Guard to honor comrades killed in shooting,http://www.kansascity.com/2011/09/11/3134988/nevada-guard-to-honor-comrades.html#storylink=rss,,False,,30,Kansas City Star,http://www.kansascity.com/
41496205,2011-09-12 01:29:39,More bullying cases have parents turning to courts,http://rssfeeds.usatoday.com/~r/usatoday-NewsTopStories/~3/0pODvN3dmes/1,,False,"education and schools,suits and litigation",4,USA Today,http://www.usatoday.com
41649908,2011-09-15 07:08:00,"$20,000 reward offered for mass shooting info",http://www.miamiherald.com/2011/09/15/2407912/20000-reward-offered-for-mass.html,,False,,28,Miami Herald,http://www.miamiherald.com/
41724539,2011-09-16 16:48:00,Montana asbestos victims win $43M settlement,http://www.miamiherald.com/2011/09/16/2410324/montana-asbestos-victims-win-43m.html,,False,,28,Miami Herald,http://www.miamiherald.com/
41728889,2011-09-16 19:54:43,Spokeswoman says no shooting at Tucson base,http://www.sacbee.com/2011/09/16/3915834/tucsons-davis-monthan-air-force.html#mi_rss=Wire%20National%20News,,False,,26,Sac Bee,http://www.sacbee.com/
42384271,2011-09-30 12:27:19,US official: al-Awlaki dead in US attack in Yemen,http://www.sacbee.com/2011/09/30/3950198/us-intelligence-support-claim.html#mi_rss=Wire%20National%20News,,False,,26,Sac Bee,http://www.sacbee.com/
42386952,2011-09-30 13:10:17,"US officials: al-Qaida cleric al-Awlaki, linked to attacks on Americans, killed in Yemen",http://feeds.washingtonpost.com/click.phdo?i=485a7c227bfc77504b4a91adf44b9cbb,,False,"politics and government,united states politics and government,recordings (audio),armament, defense and military forces,terrorism,crime and criminals,united states armament and defense,united states international relations,international relations,airlines and airplanes,world trade center (nyc),office buildings and commercial properties,hijacking",2,Washington Post,http://washingtonpost.com
42632963,2011-10-05 20:28:00,"Colo school shooting verdict: not guilty, insanity",http://www.miamiherald.com/2011/10/05/2440308/colo-school-shooting-verdict-not.html,,False,,28,Miami Herald,http://www.miamiherald.com/
